lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,fuel,waterfront,newConstruction,PriceCat
.36,10,12100,1348,52,2,1,2,3,gas,No,No,1
.07,14,1800,1480,52,3,1,1.5,8,gas,No,No,1
.11,225,3900,1483,52,3,0,1,7,gas,No,No,1
.23,25,8300,1576,52,4,1,1.5,5,gas,No,No,1
3.16,15,24100,1008,52,2,0,1,7,electric,No,No,1
.08,0,32000,2332,52,4,0,2.5,9,gas,No,Yes,2
.57,30,7500,1064,52,3,1,1,5,oil,No,No,1
.5,12,15300,2428,52,4,1,2.5,11,gas,No,No,2
1,16,26600,1310,52,3,1,2,7,electric,No,No,1
.5,0,32000,1662,52,3,0,2,7,gas,No,Yes,2
.55,0,4400,2000,52,4,0,2.5,7,gas,No,Yes,1
.1,14,2600,1480,52,3,1,1.5,6,gas,No,No,1
.5,0,32000,2969,52,4,1,4,10,gas,No,Yes,2
.31,10,10400,1542,52,3,0,2.5,5,gas,No,No,1
.28,18,6300,1527,52,4,0,2,7,oil,No,No,1
.06,0,32000,2195,52,4,0,2.5,8,gas,No,Yes,2
.06,14,1600,1480,52,3,1,1.5,6,gas,No,No,1
.46,53,9200,1452,52,3,0,2,7,oil,No,No,1
.1,0,32000,2360,52,4,0,2.5,10,gas,No,Yes,2
2.12,32,19000,1440,52,3,1,1,8,oil,No,No,1
.06,14,1600,1480,52,2,1,2.5,5,electric,No,No,1
.21,125,7300,1879,52,3,0,2.5,6,gas,No,No,1
.06,14,1600,1480,52,3,0,1.5,6,gas,No,No,1
.26,11,8700,1792,52,3,0,2.5,8,gas,No,No,1
.29,2,25000,1386,44,3,0,2.5,5,gas,No,No,1
1.29,14,10300,1676,44,2,1,2,3,electric,No,No,1
1,0,4000,768,22,4,0,2,9,gas,No,No,1
.88,16,10000,1560,22,3,1,1.5,8,electric,No,No,1
.52,91,5000,1000,22,3,0,1,6,oil,No,No,1
.07,15,18900,1676,51,4,1,1.5,9,electric,No,No,1
.32,11,19400,1656,51,3,0,1.5,6,electric,No,No,1
.92,11,20600,2300,51,3,1,1.5,7,electric,No,No,1
.46,25,18700,1712,51,3,1,1,6,gas,No,No,1
.46,26,18700,1350,51,3,0,1.5,5,gas,No,No,1
.11,15,18900,1676,51,3,1,2.5,6,gas,No,No,1
.4,103,10500,1317,51,3,0,1.5,7,gas,No,No,1
.87,30,8700,1056,51,3,1,2,8,gas,No,No,1
.59,13,19900,912,51,3,0,1,7,gas,No,No,1
.93,18,4500,1232,44,2,0,2,3,electric,No,No,1
.15,68,2000,1380,44,3,1,1,5,gas,No,No,1
.59,10,3100,936,44,3,0,1,6,gas,No,No,1
.33,49,3400,720,44,3,0,1,4,gas,No,No,1
.32,30,6500,1628,44,2,1,1.5,4,oil,No,No,1
.46,41,5000,1144,44,3,0,1.5,6,gas,No,No,1
.48,2,3000,1827,44,3,0,2.5,9,gas,No,No,1
2.37,8,3300,1784,44,3,1,2,6,oil,No,No,2
.83,16,3700,1851,44,3,1,2.5,8,gas,No,No,1
1,0,3500,2194,44,4,0,2.5,8,gas,No,Yes,2
.21,75,900,920,44,2,0,1,6,oil,No,No,1
.27,36,3800,1280,44,3,0,1,5,gas,No,No,1
.72,43,4600,1232,44,3,1,1,5,electric,No,No,1
.36,45,3600,1406,44,3,0,1.5,6,gas,No,No,1
.52,6,2500,1164,44,3,0,2,5,gas,No,No,1
.19,123,2100,1198,44,3,0,1,5,gas,No,No,1
.38,10,6600,2206,44,4,1,2.5,8,gas,No,No,2
.82,0,5000,1880,44,3,1,2.5,9,gas,No,Yes,1
.69,6,3400,1368,44,3,0,1.5,8,oil,No,No,1
.51,16,6000,1901,44,3,1,2.5,5,gas,No,No,2
.72,11,3200,1547,44,3,0,2,8,gas,No,No,1
.62,12,5400,896,44,3,0,2,5,gas,No,No,1
1,45,8000,1008,44,3,0,1,7,gas,No,No,1
.52,75,3900,912,44,2,0,1,4,gas,No,No,1
.82,12,3700,2443,44,3,0,2.5,6,gas,No,No,2
.29,83,3900,900,44,4,0,1,7,gas,No,No,1
.52,0,4400,2098,44,3,0,2,7,gas,No,Yes,1
.64,9,3000,2115,44,4,1,2.5,7,gas,No,No,1
.52,12,4500,1344,44,2,1,2,7,gas,No,No,1
1,3,5200,1106,44,3,0,1,8,gas,No,No,1
.69,33,6500,1440,44,3,2,2,6,gas,No,No,1
.13,0,15000,840,51,2,0,1,3,gas,No,Yes,1
.22,10,7300,1170,51,2,0,1,6,gas,No,No,1
.46,15,23400,1664,51,4,0,1,5,oil,No,No,1
1,153,27300,3024,51,4,0,1,12,oil,No,No,1
1,0,15900,2598,51,4,1,2.5,9,gas,No,No,2
.13,0,15000,840,51,2,0,1.5,7,gas,No,Yes,1
1.03,63,41500,1701,41,5,0,1,10,oil,No,No,1
1.17,33,41800,1456,41,3,1,1.5,6,oil,No,No,1
.34,44,19000,1224,71,3,0,1,4,oil,No,No,1
.38,48,21300,1411,71,3,1,1,5,gas,No,No,1
1.96,29,39700,1608,71,3,1,1.5,5,oil,No,No,1
3,178,44500,3020,41,4,0,2.5,12,oil,No,No,1
.33,32,22500,1898,64,3,1,1.5,7,gas,No,No,1
.46,1,36600,2544,64,4,1,2.5,9,gas,No,Yes,2
.29,16,22100,1038,64,2,0,1,7,electric,No,No,1
.35,1,37000,1820,64,3,1,2.5,6,gas,No,Yes,1
.28,21,28400,2202,64,3,1,2,10,electric,No,No,1
.52,53,20300,2387,64,3,0,1,6,oil,No,No,1
.11,16,20700,1368,64,2,1,1.5,3,electric,No,No,1
.14,16,21000,1480,64,2,1,2,5,electric,No,No,1
.14,15,19600,1348,64,2,1,1.5,5,electric,No,No,1
.47,7,25500,1889,64,4,1,2.5,8,gas,No,No,1
.14,16,19600,1343,64,2,1,1.5,6,electric,No,No,1
.51,15,39600,2011,64,3,1,2.5,7,gas,No,No,2
.21,15,28800,1180,64,2,1,1.5,3,gas,No,No,1
.14,1,45200,1983,64,3,1,2.5,5,gas,No,Yes,2
.55,14,72000,2253,64,3,1,2.5,7,gas,No,No,2
.07,12,24500,1604,64,2,0,1.5,4,gas,No,No,1
.49,83,11900,1196,45,3,0,1,6,gas,No,No,1
.07,13,24500,1602,64,2,0,2.5,7,gas,No,No,1
.36,1,37100,1747,64,3,0,2.5,5,gas,No,Yes,1
.5,37,19800,1092,64,3,0,1,5,oil,No,No,1
.48,10,37800,2410,64,4,1,2.5,11,gas,No,No,2
.29,14,31100,1933,64,3,1,2.5,6,gas,No,No,1
.68,9,57200,3080,64,4,1,2.5,12,gas,No,No,2
4.08,13,75500,4534,64,6,2,2.5,12,oil,No,No,2
.1,14,26000,1677,64,3,1,2.5,5,gas,No,No,1
.62,7,57800,2900,64,4,1,2.5,11,gas,No,No,2
.07,16,20300,1392,64,2,1,1.5,5,electric,No,No,1
.16,15,22400,1058,64,2,1,1.5,7,gas,No,No,1
.36,1,29200,2342,64,4,1,2.5,8,gas,No,Yes,2
.01,0,37200,2206,64,4,1,2.5,10,gas,No,Yes,2
.34,1,36200,1516,64,3,1,2,5,gas,No,Yes,1
.75,12,82500,2836,64,4,1,2.5,10,gas,No,No,2
.29,15,35200,1256,64,2,0,1.5,7,gas,No,No,1
.47,6,20000,2340,64,4,1,3.5,10,gas,No,No,2
.32,0,53900,2129,64,4,1,2.5,9,gas,No,Yes,2
.12,15,16800,1343,64,2,1,2.5,4,gas,No,No,1
1,0,24300,2963,64,4,1,2.5,10,gas,No,Yes,2
.46,13,36600,2114,64,4,1,3.5,8,gas,No,No,2
.18,16,21400,1144,64,2,1,1,7,electric,No,No,1
.55,33,14900,988,64,3,1,1,7,oil,No,No,1
.46,9,45800,1475,64,3,0,2,4,gas,No,No,2
.15,10,28500,1247,64,3,0,1.5,7,gas,No,No,1
.93,48,23500,1912,64,5,1,2,10,gas,No,No,2
.46,23,19700,1440,64,3,0,1.5,5,oil,No,No,1
.26,16,30100,1596,64,3,1,2,6,gas,No,No,1
.63,0,24400,2665,64,4,1,2.5,11,gas,No,Yes,2
.5,35,28000,1984,64,3,0,1.5,8,gas,No,No,1
.03,10,35800,1616,64,3,0,2,6,gas,No,No,2
.17,9,40500,1917,64,3,1,2.5,5,gas,No,No,2
.64,37,16400,2592,64,3,1,1.5,9,oil,No,No,1
.47,6,25500,1845,64,3,1,2.5,9,gas,No,No,2
.92,53,29000,1360,57,4,0,1,9,oil,No,No,1
.41,35,26200,1664,64,3,1,1.5,6,gas,No,No,1
.16,15,22400,1098,64,2,1,1.5,3,gas,No,No,1
.01,17,9900,1214,64,2,0,1.5,4,electric,No,No,1
.29,93,9200,1046,57,3,0,1,6,electric,No,No,1
.36,103,32200,1144,64,3,0,1,8,oil,No,No,1
.28,16,22000,1140,64,2,1,2,6,gas,No,No,1
.15,14,21000,1232,64,2,1,1.5,5,gas,No,No,1
.59,0,153800,3020,64,4,1,2.5,9,gas,No,Yes,2
.36,19,27000,1508,52,3,1,2,6,gas,No,No,1
.16,19,15700,912,52,2,1,1.5,5,electric,No,No,1
.34,18,27000,1508,52,3,0,1.5,4,electric,No,No,1
.33,17,27000,1561,52,3,1,1.5,6,gas,No,No,1
.56,30,26400,2625,64,4,1,2.5,8,gas,No,No,1
.48,30,19600,936,52,3,1,1,7,gas,No,No,1
.16,19,15700,912,52,2,0,1.5,3,electric,No,No,1
.17,16,15100,1492,52,3,0,2.5,8,electric,No,No,1
.46,30,26300,1599,64,4,1,2.5,5,gas,No,No,1
.81,25,25000,2304,52,5,1,2.5,9,electric,No,No,1
.15,19,15700,912,52,2,0,1.5,7,electric,No,No,1
.15,17,15100,1385,52,2,1,1.5,7,gas,No,No,1
.32,17,27000,1561,52,4,0,1.5,8,electric,No,No,1
.16,20,15700,884,52,2,0,2,3,gas,No,No,1
.15,18,15700,912,52,2,0,2,4,electric,No,No,1
.15,17,15700,912,52,2,0,1.5,3,gas,No,No,1
.48,73,20500,1384,52,3,0,2,5,oil,No,No,1
.77,7,30000,1334,52,3,0,1.5,4,gas,No,No,1
.42,10,26200,1433,64,3,1,2,5,gas,No,No,1
.17,16,15100,1492,52,3,1,2.5,6,electric,No,No,1
.32,16,27000,1561,52,4,1,1.5,9,gas,No,No,1
.09,11,32000,936,52,1,0,1,3,electric,Yes,No,2
.16,16,15100,1492,52,3,1,2.5,8,electric,No,No,1
.16,18,15100,1853,52,3,0,2.5,7,electric,No,No,1
.15,15,15100,1240,52,2,0,1.5,7,electric,No,No,1
.17,19,15800,912,52,2,0,1.5,6,electric,No,No,1
.17,19,15800,912,52,2,0,1.5,3,gas,No,No,1
.16,19,15700,912,52,2,0,1.5,6,gas,No,No,1
.16,19,15100,1184,52,3,0,1.5,8,gas,No,No,1
.34,18,27000,1638,52,3,1,2,6,electric,No,No,1
.31,16,27000,1508,52,3,1,2,6,electric,No,No,1
.4,50,18000,672,52,2,0,1,5,electric,No,No,1
.34,18,79700,1346,52,3,1,2,6,oil,Yes,No,2
.16,18,15100,1184,52,3,0,2,5,electric,No,No,1
.15,16,15700,912,52,2,0,1.5,4,gas,No,No,1
.15,18,15700,912,52,2,1,1.5,5,electric,No,No,1
.16,19,15700,988,52,2,0,2,4,gas,No,No,1
.16,19,15100,1184,52,3,0,2,6,gas,No,No,1
.15,16,15100,1385,52,2,0,1.5,4,electric,No,No,1
.15,18,15700,912,52,2,0,1.5,3,gas,No,No,1
.37,18,27000,1548,52,3,1,2,5,gas,No,No,1
.31,17,27000,1561,52,4,0,1.5,9,electric,No,No,1
1,24,21000,1008,52,2,0,1,3,gas,No,No,1
.15,17,15200,1385,52,2,0,1.5,4,electric,No,No,1
.16,19,15700,908,52,2,0,1,6,gas,No,No,1
.24,138,1400,2246,39,4,0,1.5,9,oil,No,No,1
2.06,16,5900,1820,39,3,1,2.5,5,gas,No,No,1
.42,0,13000,2554,64,4,1,2.5,9,gas,No,Yes,2
.92,16,5500,824,45,3,0,1.5,5,electric,No,No,1
.4,0,15000,2458,64,4,1,2.5,9,gas,No,No,2
.36,22,10500,1324,64,3,0,1,4,electric,No,No,1
5.84,12,20000,2916,64,3,1,2.5,9,gas,No,No,2
.16,19,15100,1032,52,2,0,1.5,4,electric,No,No,1
.15,16,15700,912,52,2,1,1.5,4,electric,No,No,1
.98,35,19600,1320,52,2,0,1,3,electric,No,No,1
.33,17,27000,1508,52,3,1,1.5,8,gas,No,No,1
.16,16,15700,912,52,2,1,1.5,7,electric,No,No,1
.09,12,31200,2040,52,4,1,2.5,7,gas,No,No,2
.16,17,15700,912,52,2,1,1.5,5,electric,No,No,1
3,10,53600,1776,52,2,0,2,6,oil,No,No,2
.58,25,25000,1304,64,3,0,2,8,electric,No,No,1
.42,10,26200,1836,64,4,1,2.5,8,gas,No,No,2
.17,18,15800,912,52,2,0,2,3,electric,No,No,1
.16,19,15700,912,52,2,0,1.5,6,electric,No,No,1
.31,16,27000,1527,52,2,1,2,7,electric,No,No,1
.99,17,5700,1454,39,3,0,1.5,7,electric,No,No,1
.26,26,4600,1700,39,3,1,1.5,4,oil,No,No,1
.45,27,7000,1680,45,4,0,1,9,electric,No,No,1
.49,0,13000,2401,64,4,1,2.5,10,gas,No,No,1
.35,21,11000,1176,64,3,0,1,7,electric,No,No,1
.4,24,9800,1344,64,3,1,1.5,7,electric,No,No,1
.48,23,10400,1344,64,3,0,1.5,8,electric,No,No,1
.35,9,13000,1714,64,3,0,2.5,8,gas,No,No,1
.25,20,29000,1992,64,4,1,3,9,gas,No,No,2
.12,19,18200,924,64,2,0,1,7,gas,No,No,1
.09,24,17600,1290,64,2,1,1.5,3,gas,No,No,1
.46,36,27400,2521,64,4,1,2.5,10,gas,No,No,1
.71,58,22700,1377,82,3,1,1.5,7,oil,No,No,1
.06,19,16400,1237,64,2,1,1.5,6,gas,No,No,1
.61,41,32300,2310,64,4,1,2.5,7,gas,No,No,1
.32,0,35000,1863,64,3,1,2.5,9,gas,No,No,1
.37,26,37500,1693,64,3,1,1.5,8,gas,No,No,1
.29,26,31400,1684,64,3,1,2.5,4,gas,No,No,1
.95,16,40900,1585,64,3,1,1.5,4,electric,No,No,1
.67,8,72400,2290,64,4,1,3,9,gas,No,No,2
.4,32,30000,2464,64,5,1,2.5,9,gas,No,No,1
.29,5,29000,2549,64,4,1,2.5,12,gas,No,No,2
.35,6,36500,2316,64,4,1,2.5,7,gas,No,No,2
.37,18,43000,2600,64,4,1,2.5,8,gas,No,No,2
.53,15,65800,2677,64,4,1,2.5,10,gas,No,No,2
.06,19,16400,1479,64,3,0,1.5,4,electric,No,No,1
.15,16,18500,1138,64,2,0,1,7,electric,No,No,1
.27,24,18900,1576,64,3,0,2.5,4,gas,No,No,1
.43,10,52200,2084,82,4,1,2.5,9,gas,No,No,2
.06,26,35900,1726,64,3,1,2,8,gas,No,No,2
1,2,49900,1851,71,2,2,2,4,gas,No,No,2
.46,30,27400,2310,64,5,1,2.5,12,gas,No,No,1
.03,0,56800,2930,64,4,1,2.5,12,gas,No,No,2
.88,33,35900,2576,64,4,1,2.5,10,gas,No,No,1
.55,36,30500,1664,64,3,1,2,8,gas,No,No,1
1,24,46000,1237,64,2,0,1.5,3,electric,No,No,1
.43,29,31400,2662,64,5,1,2.5,9,gas,No,No,1
.45,35,32300,1575,64,3,1,1.5,7,gas,No,No,1
.1,12,18000,1566,64,2,0,1.5,7,gas,No,No,1
.09,16,17600,1326,64,2,1,1.5,4,gas,No,No,1
.09,18,17600,1480,64,3,0,1.5,8,gas,No,No,1
.59,0,38400,2161,64,4,1,2.5,11,gas,No,No,1
.16,10,18600,1352,64,2,1,1.5,3,gas,No,No,1
.51,33,34600,1648,64,3,0,1.5,8,gas,No,No,1
.46,25,60500,2936,64,3,1,3.5,12,gas,No,No,2
.46,1,36400,2404,64,4,1,2.5,10,gas,No,No,2
.42,36,30900,1738,64,3,0,1.5,9,gas,No,No,1
.45,14,119500,5228,64,4,4,4,12,gas,No,No,2
.55,34,30500,2576,64,4,1,2.5,12,gas,No,No,1
.44,34,31800,1586,64,3,1,1.5,7,gas,No,No,1
.06,19,16400,1480,64,3,0,1.5,5,electric,No,No,1
.5,15,37000,1917,64,4,1,2.5,7,gas,No,No,2
.3,30,24500,1938,64,3,1,1.5,9,gas,No,No,1
.33,3,11600,2110,64,4,1,2.5,8,gas,No,No,2
.14,19,18400,1479,64,3,0,1.5,5,gas,No,No,1
.69,34,34700,2576,64,5,1,2.5,9,gas,No,No,1
.38,18,60800,2445,82,4,2,2.5,9,gas,No,No,2
.74,14,73800,2185,64,3,1,2.5,7,gas,No,No,2
.38,18,82800,2078,64,4,1,2.5,8,electric,No,No,2
.38,37,29100,1674,64,3,1,1.5,5,gas,No,No,1
.29,19,20300,1228,64,4,0,1.5,9,electric,No,No,1
.28,22,19500,1375,64,2,1,1.5,7,electric,No,No,1
.54,16,30200,1650,64,3,1,2,5,gas,No,No,2
.26,31,21900,1718,64,3,1,1.5,9,gas,No,No,1
.59,33,31700,2576,64,4,1,2.5,9,gas,No,No,2
.37,4,37500,2280,64,4,1,2.5,7,gas,No,No,2
.4,18,25000,2088,64,4,1,2.5,10,gas,No,No,1
.5,15,37000,1917,64,4,1,2.5,9,gas,No,No,2
.54,29,30200,3140,64,5,1,3.5,10,gas,No,No,2
.22,73,6900,1029,82,3,0,1,4,gas,No,No,1
.35,36,39800,1896,64,4,1,2.5,7,gas,No,No,1
.52,38,29600,2310,64,5,1,2.5,9,gas,No,No,2
.31,17,19600,924,64,2,1,1,6,electric,No,No,1
.38,25,38000,2080,64,3,1,2.5,9,gas,No,No,1
.08,22,17200,1237,64,3,1,1.5,4,electric,No,No,1
.1,29,18000,1287,64,3,0,1.5,5,gas,No,No,1
.44,18,33200,1847,64,3,1,2.5,7,gas,No,No,1
.26,49,41900,1064,64,3,0,1,8,gas,No,No,1
.07,18,16800,1480,64,3,1,1.5,4,gas,No,No,1
.48,23,48500,2462,64,5,2,3.5,8,gas,No,No,2
.41,17,25400,2228,64,3,1,2.5,7,gas,No,No,1
.42,61,14700,1260,82,3,0,1,8,gas,No,No,1
.45,30,30000,1559,64,4,1,2.5,5,gas,No,No,1
.6,25,71000,1980,64,4,1,2.5,10,gas,No,No,2
.95,9,78000,2380,82,3,1,2.5,6,gas,No,No,2
.56,27,30800,1887,64,4,1,2.5,8,gas,No,No,1
1.25,133,43500,2185,64,4,1,1.5,11,gas,No,No,2
.7,15,69400,2488,64,4,1,2.5,7,electric,No,No,2
.67,56,21100,1152,64,1,0,2,3,gas,No,No,1
.66,15,32100,2025,64,4,1,2.5,9,gas,No,No,1
.62,37,32600,2521,64,5,1,2.5,12,gas,No,No,2
.08,18,17200,1480,64,3,0,1.5,4,gas,No,No,1
.08,17,17200,1480,64,3,1,1.5,5,gas,No,No,1
.51,7,39100,2362,64,4,1,2.5,8,gas,No,No,2
.28,31,23200,1910,64,3,1,1.5,7,gas,No,No,1
1,12,32000,1952,71,3,2,2,9,oil,No,No,1
.58,9,86400,3358,64,4,1,3.5,12,gas,No,No,2
.43,26,39000,2090,64,4,1,2.5,7,gas,No,No,2
.55,35,33000,1965,64,5,1,2,11,gas,No,No,1
.49,33,34100,2110,64,4,1,1.5,9,gas,No,No,1
.39,43,29600,1456,64,4,0,2.5,9,gas,No,No,1
.06,18,16400,1479,64,3,0,1.5,7,gas,No,No,1
.46,29,27400,1874,64,4,1,2.5,7,gas,No,No,1
.5,0,17500,2099,64,4,1,2.5,8,gas,No,No,2
.6,33,32000,1872,64,3,1,2.5,8,gas,No,No,1
.41,17,44300,2388,64,4,1,2.5,11,electric,No,No,2
.53,18,65800,2812,64,4,1,2.5,12,gas,No,No,2
.21,11,19100,1064,64,2,1,2,4,gas,No,No,1
.06,20,16400,1375,64,2,0,1.5,7,gas,No,No,1
.09,19,17600,1480,64,3,0,1.5,5,electric,No,No,1
.13,25,18300,1260,64,2,1,1.5,5,gas,No,No,1
.72,15,40300,2086,64,3,1,2.5,5,gas,No,No,2
1,9,43900,2588,64,4,1,2.5,12,oil,No,No,2
.18,18,18800,1480,64,3,0,1.5,4,electric,No,No,1
.74,10,35700,1752,64,3,1,2.5,7,gas,No,No,2
.48,32,28200,2660,64,4,1,2.5,11,gas,No,No,1
.58,20,69500,2417,64,3,1,2.5,9,gas,No,No,2
.01,21,79100,2793,64,3,1,2.5,7,gas,No,No,2
1,78,21200,1152,64,2,0,1,6,oil,No,No,1
.41,29,25400,2344,64,4,1,2.5,9,gas,No,No,1
.51,33,34600,1926,64,4,1,1.5,6,gas,No,No,1
.55,35,34800,2208,64,4,1,2.5,9,gas,No,No,1
.46,16,60500,2208,64,3,1,2.5,7,gas,No,No,2
.6,35,32000,2708,64,5,2,2.5,12,gas,No,No,2
.19,18,18900,1142,64,3,0,1.5,6,gas,No,No,1
1.42,32,48300,2529,64,3,1,2,7,gas,No,No,1
.69,20,35500,1797,64,4,0,2,9,electric,No,No,2
.51,31,34600,1611,64,3,1,1.5,4,gas,No,No,1
.29,13,31400,2576,64,4,1,2.5,10,gas,No,No,2
.06,10,79600,2653,82,4,0,2.5,10,gas,No,No,2
.6,13,88000,3896,64,5,2,4.5,12,gas,No,No,2
.53,16,37500,1585,64,3,1,1,6,gas,No,No,2
.38,10,38000,2774,64,4,1,2.5,8,gas,No,No,2
.74,54,28300,1283,64,2,1,1,3,gas,No,No,1
.56,29,34800,1136,64,3,0,1,6,oil,No,No,1
.71,32,35100,1896,64,4,1,2.5,6,gas,No,No,1
2.84,55,60200,1536,64,2,1,1,7,gas,No,No,1
.09,19,17600,1480,64,3,1,1.5,5,electric,No,No,1
.52,14,37300,2096,64,4,1,2.5,8,gas,No,No,2
1,8,40200,2324,64,4,0,2.5,7,gas,No,No,2
.5,29,29000,2079,64,4,1,2.5,7,gas,No,No,1
.43,33,31400,1911,64,4,1,1.5,10,gas,No,No,1
.09,18,17600,1480,64,3,1,1.5,7,gas,No,No,1
.11,25,32900,2208,64,4,1,2.5,10,gas,No,No,2
.24,9,28000,1462,64,3,0,2.5,7,gas,No,No,1
.39,38,29600,1794,64,4,1,1.5,10,gas,No,No,1
.8,38,35500,1886,64,4,1,2.5,9,gas,No,No,1
.19,19,13300,1080,64,3,0,1.5,7,electric,No,No,1
.59,34,31700,2576,64,5,1,3,11,gas,No,No,2
.48,26,31200,1508,64,4,1,1.5,5,gas,No,No,1
.46,35,32700,1672,64,4,1,1,5,gas,No,No,1
.4,35,30000,1739,64,4,1,1.5,9,gas,No,No,1
.52,40,29600,3074,64,7,1,2.5,12,gas,No,No,2
.86,3,35600,1976,64,3,1,2.5,8,gas,No,No,2
.46,37,27400,2302,64,4,1,2.5,8,gas,No,No,1
.95,13,9500,1480,51,3,1,2,4,gas,No,No,1
.63,11,17900,960,54,2,0,2,5,gas,No,No,1
.42,16,17400,1582,36,3,0,1.5,8,electric,No,No,1
.34,154,11900,1600,54,4,0,1,7,oil,No,No,1
.5,5,4000,2320,54,4,0,2.5,9,gas,No,No,2
.2,14,7200,1034,54,2,0,1.5,5,gas,No,No,1
2.96,19,11000,1488,57,3,0,1.5,8,electric,No,No,2
1,17,3500,1056,57,3,0,1,8,electric,No,No,1
1,128,16200,864,57,3,0,1,6,oil,No,No,1
1,19,17600,1552,57,3,1,2,4,electric,No,No,1
.52,11,18200,1816,57,3,1,1.5,6,gas,No,No,2
.48,20,12500,1530,57,3,1,2,6,gas,No,No,1
.33,14,11900,1756,54,4,0,2,8,gas,No,No,1
1,25,25000,4211,57,5,2,3.5,12,gas,No,No,2
2.6,10,20200,2206,57,3,1,2.5,7,oil,No,No,1
.15,64,36000,1092,36,2,0,1,6,oil,Yes,No,1
2.8,114,28300,1594,36,7,0,1,10,oil,No,No,1
.08,15,2100,1480,54,3,1,2.5,8,gas,No,No,1
.14,15,3200,1480,54,3,1,1.5,4,gas,No,No,1
.46,88,19700,3003,57,4,1,3.5,12,gas,No,No,2
.63,54,9500,2164,57,2,0,1.5,7,oil,No,No,2
3.8,19,14400,1519,57,2,0,1,3,oil,No,No,2
.46,15,15700,1604,57,3,1,2.5,4,oil,No,No,1
.98,25,15900,1400,57,3,1,2,5,electric,No,No,2
1,12,20300,1752,57,4,0,1,7,gas,No,No,2
1,32,20300,880,57,2,0,1.5,6,electric,No,No,1
6.07,14,25700,1240,57,3,0,2,5,oil,No,No,2
.03,17,18800,1514,36,3,1,1.5,8,gas,No,No,1
.18,2,15000,840,36,1,0,1,6,gas,No,No,1
.11,1,15000,840,36,2,0,1,3,gas,No,No,1
.28,124,7400,2592,36,4,0,1.5,12,gas,No,No,1
.18,121,7300,1010,36,3,0,1,7,gas,No,No,1
.16,2,15000,1380,36,3,0,1.5,6,gas,No,No,1
.15,3,15000,1366,36,3,0,1.5,8,gas,No,No,1
.5,5,40200,1681,57,3,1,2.5,4,gas,Yes,No,2
3.68,14,27200,2037,36,3,1,2,9,oil,No,No,2
.98,16,11200,2570,36,3,0,1.5,10,oil,No,No,1
.52,59,8000,936,20,2,0,1,4,oil,No,No,1
.01,13,1200,960,41,2,0,1.5,7,gas,No,No,1
.91,11,3200,1352,30,3,1,1.5,5,oil,No,No,1
